Date,Price,Open,High,Low,Volume,Change,Year
2023-05-10,27603.3,27634.3,28311.7,26885.7,91450.0,-0.11,2023
2023-05-11,26983.5,27604.3,27607.4,26766.2,62850.0,-2.25,2023
2023-05-12,26799.2,26983.1,27044.0,25853.1,87490.0,-0.68,2023
2023-05-13,26777.5,26798.7,27011.9,26695.6,27950.0,-0.08,2023
2023-05-14,26920.0,26777.4,27176.1,26609.9,26350.0,0.53,2023
2023-05-15,27183.9,26920.4,27651.7,26752.1,53270.0,0.98,2023
2023-05-16,27035.3,27183.9,27295.3,26881.9,45290.0,-0.55,2023
2023-05-17,27403.1,27035.5,27465.3,26597.7,58140.0,1.36,2023
2023-05-18,26828.0,27403.8,27467.0,26449.8,63390.0,-2.1,2023
2023-05-19,26882.9,26828.2,27154.7,26711.3,36670.0,0.2,2023
2023-05-20,27116.2,26883.0,27147.2,26831.3,17720.0,0.87,2023
2023-05-21,26749.9,27116.2,27257.1,26677.6,27420.0,-1.35,2023
2023-05-22,26847.3,26749.9,27048.9,26546.1,35560.0,0.36,2023
2023-05-23,27220.7,26851.6,27448.1,26804.1,50890.0,1.39,2023
2023-05-24,26328.4,27220.7,27220.7,26088.7,72650.0,-3.28,2023
2023-05-25,26475.8,26327.1,26589.2,25892.5,50170.0,0.56,2023
2023-05-26,26711.5,26475.5,26911.6,26330.0,45880.0,0.89,2023
2023-05-27,26857.5,26711.2,26882.9,26591.2,18680.0,0.55,2023
2023-05-28,28071.2,26855.3,28181.9,26788.5,55230.0,4.52,2023
2023-05-29,27739.4,28068.4,28431.2,27548.8,54560.0,-1.18,2023
2023-05-30,27698.2,27738.9,28033.6,27583.8,45190.0,-0.15,2023
2023-05-31,27216.1,27696.9,27825.0,26865.1,63080.0,-1.74,2023
2023-06-01,26819.0,27216.4,27340.9,26662.3,51980.0,-1.46,2023
2023-06-02,27244.7,26819.0,27299.4,26541.3,49370.0,1.59,2023
2023-06-03,27072.0,27246.0,27317.5,26931.4,20620.0,-0.63,2023
2023-06-04,27122.3,27070.9,27410.2,26956.1,23810.0,0.19,2023
2023-06-05,25747.4,27122.3,27125.5,25437.5,85420.0,-5.07,2023
2023-06-06,27230.2,25745.6,27325.2,25425.6,88610.0,5.76,2023
2023-06-07,26342.5,27230.2,27342.0,26141.0,77480.0,-3.26,2023
2023-06-08,26501.1,26341.8,26784.4,26231.3,39950.0,0.6,2023
2023-06-09,26479.3,26501.1,26773.9,26326.7,38960.0,-0.08,2023
2023-06-10,25844.0,26479.3,26525.1,25468.3,83570.0,-2.4,2023
2023-06-11,25928.4,25843.3,26190.1,25660.8,39200.0,0.33,2023
2023-06-12,25906.8,25927.9,26080.7,25635.0,40750.0,-0.08,2023
2023-06-13,25929.4,25906.9,26428.9,25726.4,56240.0,0.09,2023
2023-06-14,25129.5,25929.0,26051.7,24847.4,60820.0,-3.08,2023
2023-06-15,25591.3,25129.5,25732.8,24838.0,68380.0,1.84,2023
2023-06-16,26341.3,25591.9,26472.8,25276.0,69240.0,2.93,2023
2023-06-17,26515.0,26341.3,26767.3,26183.5,35860.0,0.66,2023
2023-06-18,26339.7,26515.0,26679.3,26290.6,27310.0,-0.66,2023
2023-06-19,26845.9,26339.7,27029.7,26295.1,46450.0,1.92,2023
2023-06-20,28307.7,26845.9,28393.0,26665.5,100550.0,5.44,2023
2023-06-21,29996.9,28307.7,30769.5,28270.5,143490.0,5.97,2023
2023-06-22,29890.5,29992.8,30497.8,29590.4,79220.0,-0.35,2023
2023-06-23,30679.4,29890.2,31395.4,29822.6,98850.0,2.64,2023
2023-06-24,30533.6,30680.7,30795.3,30269.4,38150.0,-0.48,2023
2023-06-25,30465.3,30533.6,31040.2,30315.8,37120.0,-0.22,2023
2023-06-26,30267.0,30466.3,30645.9,29986.3,58710.0,-0.65,2023
2023-06-27,30689.1,30267.0,30993.7,30231.3,55820.0,1.39,2023
2023-06-28,30078.6,30691.9,30703.4,29919.5,51060.0,-1.99,2023
2023-06-29,30445.7,30077.3,30823.1,30051.3,49570.0,1.22,2023
2023-06-30,30472.9,30445.7,31275.5,29714.5,118650.0,0.09,2023
2023-07-01,30586.8,30472.9,30649.9,30329.0,22460.0,0.37,2023
2023-07-02,30617.7,30587.1,30769.0,30227.9,28820.0,0.1,2023
2023-07-03,31151.3,30617.5,31377.0,30581.5,56490.0,1.74,2023
2023-07-04,30768.4,31152.0,31326.5,30657.8,42120.0,-1.23,2023
2023-07-05,30512.8,30768.6,30875.6,30233.3,43230.0,-0.83,2023
2023-07-06,29913.1,30512.8,31463.6,29869.0,90810.0,-1.97,2023
2023-07-07,30346.4,29912.7,30442.0,29757.4,46420.0,1.45,2023
2023-07-08,30288.8,30346.8,30379.9,30055.9,17410.0,-0.19,2023
2023-07-09,30166.9,30288.8,30425.5,30071.9,20050.0,-0.4,2023
2023-07-10,30415.3,30166.9,31019.6,29969.1,55240.0,0.82,2023
2023-07-11,30623.3,30414.2,30782.2,30333.8,39840.0,0.68,2023
2023-07-12,30387.3,30623.3,30951.3,30231.7,54060.0,-0.77,2023
